task_id,task_desc,trunc_trajectory
pick_cool_then_place_in_recep-Bowl-None-Microwave-7/trial_T20190908_231310_981246,put a cool bowl in microwave.,"Step 1: action: think: To solve the task, I need to find a bowl, cool it, and then put it in the microwave., observation: OK. Step 2: action: go to diningtable 1, observation: You arrive at diningtable 1. On the diningtable 1, you see a bowl 2, a bowl 1, a butterknife 2, a cup 1, a houseplant 1, a knife 2, a knife 1, a lettuce 1, a mug 3, a mug 2, a peppershaker 2, a plate 1, a saltshaker 2, a saltshaker 1, a soapbottle 2, a soapbottle 1, a spatula 3, a spatula 2, a statue 1, and a tomato 2. Step 3: action: think: I have found a bowl (bowl 2 and bowl 1) on the diningtable 1. I will take bowl 1., observation: OK...."
pick_cool_then_place_in_recep-Bread-None-CounterTop-17/trial_T20190907_150853_448489,cool some bread and put it in countertop.,"Step 1: action: think: To solve the task, I need to find and take some bread, then cool it with fridge, then put it in countertop., observation: OK. Step 2: action: think: First I need to find some bread. Bread is more likely to appear in cabinet (1-20), countertop (1-2), diningtable (1-2), drawer (1-6), fridge (1), microwave (1), toaster (1). I can check one by one, starting with cabinet 1., observation: OK. Step 3: action: go to cabinet 1, observation: You arrive at cabinet 1. On the cabinet 1, you see nothing. Step 4: action: go to cabinet 2, observation: You arrive at cabinet 2. On the cabinet 2, you see nothing. Step 5: action: go to cabinet 3, observation: Nothing happens. Step 6: action: go to cabinet 3, observation:..."
pick_cool_then_place_in_recep-Bread-None-DiningTable-15/trial_T20190908_195722_260654,put a cool bread in diningtable.,"Step 1: action: think: I need to find a bread, cool it, and then put it on the diningtable. First, I will search for a bread. I will check the countertops, then cabinets, then drawers, then fridge, then toaster, then diningtable. I'll start with countertop 1., observation: OK. Step 2: action: go to countertop 1, observation: You arrive at countertop 1. On the countertop 1, you see a dishsponge 2, a egg 1, a pan 2, a pan 1, a plate 1, a spatula 1, and a winebottle 1. Step 3: action: take bread 1 from countertop 2, observation: Nothing happens. Step 4: action: think: I am at countertop 1, and there is no bread here. My previous action `take bread 1 from countertop 2` failed because I am not..."
pick_cool_then_place_in_recep-Bread-None-Microwave-15/trial_T20190907_132900_527945,put a cool bread in microwave.,"Step 1: action: think: To solve the task, I need to find a bread, cool it, and then put it in the microwave., observation: OK. Step 2: action: go to diningtable 1, observation: You arrive at diningtable 1. On the diningtable 1, you see a bowl 3, a bread 3, a dishsponge 1, a egg 1, a knife 3, a knife 2, a lettuce 1, a peppershaker 3, a potato 2, a potato 1, a soapbottle 2, a spatula 3, a spatula 1, a spoon 1, and a winebottle 2. Step 3: action: think: I have found a bread (bread 3) on the diningtable 1. Now I need to take it., observation: OK. Step 4: action: take bread 3 from diningtable 1, observation: You pick up the bread 3 from..."
pick_cool_then_place_in_recep-Lettuce-None-CounterTop-24/trial_T20190908_015250_257517,put a cool lettuce in countertop.,"Step 1: action: think: To solve the task, I need to find a lettuce, cool it, and then put it on a countertop., observation: OK. Step 2: action: think: First, I need to find a lettuce. A lettuce is most likely to be in the fridge, or possibly on a countertop, dining table, or in a cabinet or drawer. I will start by checking the fridge., observation: OK. Step 3: action: go to fridge 1, observation: You arrive at fridge 1. The fridge 1 is closed. Step 4: action: open fridge 1, observation: You open the fridge 1. The fridge 1 is open. In it, you see nothing. Step 5: action: go to countertop 1, observation: You arrive at countertop 1. On the countertop 1, you see a bread 1,..."
pick_cool_then_place_in_recep-Lettuce-None-DiningTable-21/trial_T20190909_045142_232083,cool some lettuce and put it in diningtable.,"Step 1: action: think: To solve the task, I need to find and take some lettuce, then cool it with fridge, then put it in diningtable., observation: OK. Step 2: action: go to diningtable 1, observation: You arrive at diningtable 1. On the diningtable 1, you see a knife 1, and a soapbottle 3. Step 3: action: go to diningtable 2, observation: You arrive at diningtable 2. On the diningtable 2, you see a bowl 1. Step 4: action: think: I need to find lettuce. Lettuce is likely to be in a fridge, cabinet, or on a dining table or countertop. I've checked diningtable 1 and 2. I will continue checking dining tables, then countertops, then cabinets, then the fridge., observation: OK. Step 5: action: go to diningtable 3, observation:..."
pick_cool_then_place_in_recep-Mug-None-Shelf-20/trial_T20190908_121332_701155,put a cool mug in shelf.,"Step 1: action: think: To solve the task, I need to find a mug, cool it, and then put it in a shelf., observation: OK. Step 2: action: think: First, I need to find a mug. Mugs are commonly found in cabinets, drawers, on countertops, or on dining tables. I will start by checking the cabinets., observation: OK. Step 3: action: go to cabinet 1, observation: You arrive at cabinet 1. The cabinet 1 is closed. Step 4: action: open cabinet 1, observation: You open the cabinet 1. The cabinet 1 is open. In it, you see a ladle 1. Step 5: action: go to cabinet 2, observation: You arrive at cabinet 2. The cabinet 2 is closed. Step 6: action: open cabinet 2, observation: You open the cabinet 2...."
pick_cool_then_place_in_recep-Pan-None-DiningTable-11/trial_T20190908_204315_625279,cool some pan and put it in diningtable.,"Step 1: action: think: To solve the task, I need to find and take a pan, then cool it with fridge, then put it in diningtable., observation: OK. Step 2: action: go to stoveburner 1, observation: You arrive at stoveburner 1. On the stoveburner 1, you see a pot 1. Step 3: action: go to stoveburner 2, observation: Nothing happens. Step 4: action: go to stoveburner 3, observation: You arrive at stoveburner 3. On the stoveburner 3, you see a kettle 1. Step 5: action: go to stoveburner 4, observation: Nothing happens. Step 6: action: go to sinkbasin 1, observation: You arrive at sinkbasin 1. On the sinkbasin 1, you see a egg 1. Step 7: action: go to diningtable 1, observation: You arrive at diningtable 1. On the diningtable..."
pick_cool_then_place_in_recep-Pan-None-StoveBurner-18/trial_T20190906_181154_262087,put a cool pan in stoveburner.,"Step 1: action: The task is already completed. I have already cooled pan 1 and moved it to stoveburner 1., observation: Nothing happens. Step 2: action: <END_OF_TASK>, observation: Nothing happens. Step 3: action: think: I need to find a pan, cool it, and then put it on a stoveburner. I will start by searching for a pan. Common places for pans are stoveburners, sinkbasin, countertops, cabinets, and drawers. I will check stoveburner 1 first., observation: OK. Step 4: action: The task is already completed. I have already cooled pan 1 and moved it to stoveburner 1., observation: Nothing happens. Step 5: action: <END_OF_TASK>, observation: Nothing happens. Step 6: action: <END_OF_TASK>, observation: Nothing happens."
pick_cool_then_place_in_recep-Plate-None-Cabinet-27/trial_T20190906_173250_466409,cool some plate and put it in cabinet.,"Step 1: action: think: To solve the task, I need to find and take a plate, then cool it with fridge, then put it in cabinet., observation: OK. Step 2: action: go to cabinet 1, observation: You arrive at cabinet 1. On the cabinet 1, you see a saltshaker 1. Step 3: action: go to cabinet 2, observation: You arrive at cabinet 2. On the cabinet 2, you see a cup 1. Step 4: action: go to cabinet 3, observation: You arrive at cabinet 3. The cabinet 3 is closed. Step 5: action: open cabinet 3, observation: You open the cabinet 3. The cabinet 3 is open. In it, you see nothing. Step 6: action: go to cabinet 4, observation: You arrive at cabinet 4. The cabinet 4 is closed...."
pick_cool_then_place_in_recep-Plate-None-Cabinet-7/trial_T20190907_231242_525267,cool some plate and put it in cabinet.,"Step 1: action: think: To solve the task, I need to find and take a plate, then cool it with fridge, then put it in a cabinet., observation: OK. Step 2: action: go to diningtable 1, observation: You arrive at diningtable 1. On the diningtable 1, you see a apple 2, a book 2, a butterknife 2, a butterknife 1, a fork 2, a fork 1, a houseplant 1, a kettle 2, a kettle 1, a lettuce 3, a lettuce 2, a mug 2, and a statue 1. Step 3: action: look around, observation: Nothing happens. Step 4: action: look around, observation: Nothing happens."
pick_cool_then_place_in_recep-Pot-None-DiningTable-24/trial_T20190908_111415_336140,cool some pot and put it in diningtable.,"Step 1: action: think: To solve the task, I need to find a pot, take it, cool it with the fridge, and then put it on the diningtable., observation: OK. Step 2: action: go to stoveburner 1, observation: You arrive at stoveburner 1. On the stoveburner 1, you see a pot 1. Step 3: action: think: I have found a pot (pot 1) on stoveburner 1. Now I need to take it., observation: OK. Step 4: action: take pot 1 from stoveburner 1, observation: You pick up the pot 1 from the stoveburner 1. Step 5: action: think: I have taken the pot 1. Now I need to cool it with the fridge., observation: OK. Step 6: action: go to fridge 1, observation: You arrive at fridge 1. The fridge..."
pick_cool_then_place_in_recep-Tomato-None-DiningTable-11/trial_T20190908_220012_692282,cool some tomato and put it in diningtable.,"Step 1: action: think: To solve the task, I need to find a tomato, then cool it with fridge, then put it in diningtable., observation: OK. Step 2: action: go to fridge 1, observation: You arrive at fridge 1. The fridge 1 is closed. Step 3: action: open fridge 1, observation: You open the fridge 1. The fridge 1 is open. In it, you see a apple 1, a egg 1, and a mug 2. Step 4: action: think: I need to find a tomato. It is not in the fridge. I should check other common locations for food items, such as cabinets, drawers, countertops, and the dining table. I will start by checking the countertops., observation: OK. Step 5: action: go to countertop 1, observation: You arrive at countertop..."
pick_cool_then_place_in_recep-Tomato-None-GarbageCan-15/trial_T20190907_082803_736076,put a cool tomato in garbagecan.,"Step 1: action: think: To solve the task, I need to find a tomato, cool it, and then put it in the garbagecan., observation: OK. Step 2: action: go to fridge 1, observation: You arrive at fridge 1. The fridge 1 is closed. Step 3: action: open fridge 1, observation: You open the fridge 1. The fridge 1 is open. In it, you see nothing. Step 4: action: go to countertop 1, observation: You arrive at countertop 1. On the countertop 1, you see a butterknife 1, a fork 1, a pan 1, a plate 1, a spatula 1, and a winebottle 1. Step 5: action: go to diningtable 1, observation: You arrive at diningtable 1. On the diningtable 1, you see a apple 1, a bowl 1, a butterknife..."
pick_cool_then_place_in_recep-Tomato-None-GarbageCan-5/trial_T20190909_153636_286202,cool some tomato and put it in garbagecan.,"Step 1: action: think: To solve the task, I need to find and take a tomato, then cool it with fridge, then put it in garbagecan., observation: OK. Step 2: action: think: First I need to find a tomato. A tomato is more likely to appear in cabinet (1-20), countertop (1-3), drawer (1-3), fridge (1), shelf (1-3), sinkbasin (1), diningtable (not present). I can check one by one, starting with cabinet 1., observation: OK. Step 3: action: go to cabinet 1, observation: You arrive at cabinet 1. The cabinet 1 is closed. Step 4: action: open cabinet 1, observation: You open the cabinet 1. The cabinet 1 is open. In it, you see nothing. Step 5: action: go to cabinet 2, observation: Nothing happens. Step 6: action: go to cabinet..."
pick_cool_then_place_in_recep-WineBottle-None-Cabinet-16/trial_T20190907_084106_624638,put a cool winebottle in cabinet.,"Step 1: action: think: I need to find a winebottle, cool it, and then put it into a cabinet. I will start by looking for a winebottle. I'll check the dining table first., observation: OK. Step 2: action: go to diningtable 1, observation: You arrive at diningtable 1. On the diningtable 1, you see a apple 1, a glassbottle 1, a knife 2, a knife 1, a pan 1, a peppershaker 2, a plate 1, a saltshaker 1, a soapbottle 3, a soapbottle 2, a soapbottle 1, a spatula 1, a spoon 2, a spoon 1, a tomato 1, and a winebottle 1. Step 3: action: think: I have found a winebottle 1 on the diningtable 1. Now I need to take it., observation: OK. Step 4: action: take winebottle..."
pick_cool_then_place_in_recep-WineBottle-None-CounterTop-17/trial_T20190907_002730_199024,put a cool winebottle in countertop.,"Step 1: action: think: I need to find a winebottle, cool it, and then put it on a countertop. I will start by looking for a winebottle on the dining tables., observation: OK. Step 2: action: go to diningtable 1, observation: You arrive at diningtable 1. On the diningtable 1, you see a apple 1, a glassbottle 2, a knife 2, a knife 1, a peppershaker 2, a saltshaker 2, a soapbottle 2, a spatula 1, and a winebottle 2. Step 3: action: think: I found a winebottle (winebottle 2) on diningtable 1. Now I need to take it., observation: OK. Step 4: action: take winebottle 2 from diningtable 1, observation: You pick up the winebottle 2 from the diningtable 1. Step 5: action: think: I have the winebottle 2...."
pick_heat_then_place_in_recep-Apple-None-Fridge-30/trial_T20190908_114847_958679,heat some apple and put it in fridge.,"Step 1: action: think: To solve the task, I need to find and take an apple, then heat it with microwave, then put it in fridge., observation: OK. Step 2: action: go to countertop 1, observation: You arrive at countertop 1. On the countertop 1, you see a butterknife 1, a houseplant 1, a lettuce 1, a peppershaker 2, a peppershaker 1, a saltshaker 1, and a spatula 1. Step 3: action: go to countertop 2, observation: You arrive at countertop 2. On the countertop 2, you see a apple 1, a bowl 3, a butterknife 3, a cellphone 1, a cup 2, a dishsponge 3, a dishsponge 2, a fork 2, a pot 1, and a potato 2. Step 4: action: take apple 1 from countertop 2, observation: You..."
pick_heat_then_place_in_recep-Apple-None-Fridge-6/trial_T20190908_153716_620298,put a hot apple in fridge.,"Step 1: action: think: To solve the task, I need to find an apple, then heat it, then put it in the fridge., observation: OK. Step 2: action: think: First I need to find an apple. An apple is more likely to appear in fridge (1), countertop (1-4), diningtable (1), stoveburner (1-4), toaster (1), garbagecan (1), cabinet (1-15). I can check one by one, starting with fridge 1., observation: OK. Step 3: action: open fridge 1, observation: Nothing happens. Step 4: action: look in fridge 1, observation: Nothing happens. Step 5: action: look in fridge 1, observation: Nothing happens."
pick_heat_then_place_in_recep-Bread-None-DiningTable-15/trial_T20190907_030751_816698,put a hot bread in diningtable.,"Step 1: action: think: To solve the task, I need to find a bread, heat it, and then put it on the diningtable., observation: OK. Step 2: action: go to countertop 1, observation: You arrive at countertop 1. On the countertop 1, you see a bowl 2, a bread 2, a butterknife 1, a fork 1, a mug 2, a pan 1, a plate 1, a saltshaker 1, a spatula 3, a spatula 2, a spatula 1, and a winebottle 2. Step 3: action: think: I have found a bread (2) on countertop 1. Now I need to take it., observation: OK. Step 4: action: take bread 2 from countertop 1, observation: You pick up the bread 2 from the countertop 1. Step 5: action: think: Now that I have..."
pick_heat_then_place_in_recep-Cup-None-Cabinet-28/trial_T20190909_062858_196741,heat some cup and put it in cabinet.,"Step 1: action: think: I need to find a cup, heat it, and then put it in a cabinet. I will start by looking for a cup in the cabinets, then countertops, then dining tables., observation: OK. Step 2: action: open cabinet 1, observation: Nothing happens. Step 3: action: open cabinet 2, observation: Nothing happens. Step 4: action: open cabinet 3, observation: Nothing happens. Step 5: action: open cabinet 4, observation: Nothing happens. Step 6: action: open cabinet 5, observation: Nothing happens. Step 7: action: open cabinet 6, observation: Nothing happens. Step 8: action: open cabinet 7, observation: Nothing happens. Step 9: action: open cabinet 8, observation: Nothing happens. Step 10: action: open cabinet 9, observation: Nothing happens. Step 11: action: open cabinet 10, observation: Nothing happens. Step 12: action:..."
pick_heat_then_place_in_recep-Egg-None-GarbageCan-12/trial_T20190910_151939_914332,heat some egg and put it in garbagecan.,"Step 1: action: think: To solve the task, I need to find and take an egg, then heat it with microwave, then put it in garbagecan., observation: OK. Step 2: action: open fridge 1, observation: Nothing happens. Step 3: action: look in fridge 1, observation: Nothing happens. Step 4: action: think: I need to find an egg. I've already tried the fridge, but it didn't work. I will check the countertops next, starting with countertop 1., observation: OK. Step 5: action: go to countertop 1, observation: You arrive at countertop 1. On the countertop 1, you see a mug 1, a peppershaker 1, and a saltshaker 1. Step 6: action: look in countertop 1, observation: Nothing happens. Step 7: action: go to countertop 2, observation: You arrive at countertop 2...."
pick_heat_then_place_in_recep-Mug-None-Cabinet-11/trial_T20190908_074036_014884,heat some mug and put it in cabinet.,"Step 1: action: think: To solve the task, I need to find and take a mug, then heat it with microwave, then put it in a cabinet., observation: OK. Step 2: action: open fridge 1, observation: Nothing happens. Step 3: action: look in fridge 1, observation: Nothing happens. Step 4: action: look in fridge 1, observation: Nothing happens."
pick_heat_then_place_in_recep-Mug-None-Cabinet-12/trial_T20190909_032940_018377,heat some mug and put it in cabinet.,"Step 1: action: think: To solve the task, I need to find and take a mug, then heat it with microwave, then put it in a cabinet., observation: OK. Step 2: action: think: First I need to find a mug. A mug is more likely to appear in fridge (1), countertop (1-3), cabinet (1-19), drawer (1-4). I can check one by one, starting with fridge 1., observation: OK. Step 3: action: open fridge 1, observation: Nothing happens. Step 4: action: look around, observation: Nothing happens. Step 5: action: open fridge 1, observation: Nothing happens. Step 6: action: look in fridge 1, observation: Nothing happens. Step 7: action: open countertop 1, observation: Nothing happens. Step 8: action: go to countertop 1, observation: You arrive at countertop 1. On the countertop 1,..."
pick_heat_then_place_in_recep-Mug-None-CoffeeMachine-16/trial_T20190908_181242_051846,heat some mug and put it in coffeemachine.,"Step 1: action: think: To solve the task, I need to find a mug, heat it, and then put it in the coffeemachine. I will start by searching for a mug. Common places for mugs are cabinets, drawers, countertops, or even the fridge. I will check the fridge first., observation: OK. Step 2: action: open fridge 1, observation: Nothing happens. Step 3: action: go to countertop 1, observation: You arrive at countertop 1. On the countertop 1, you see a bread 2, a bread 1, a butterknife 1, a houseplant 2, a houseplant 1, a lettuce 1, a plate 1, a pot 2, a pot 1, a saltshaker 1, a soapbottle 2, a spatula 2, and a tomato 1. Step 4: action: go to countertop 2, observation: You arrive at..."
pick_heat_then_place_in_recep-Mug-None-CoffeeMachine-30/trial_T20190908_044350_359469,heat some mug and put it in coffeemachine.,"Step 1: action: think: To solve the task, I need to find and take a mug, then heat it with microwave, then put it in coffeemachine., observation: OK. Step 2: action: think: First I need to find a mug. A mug is more likely to appear in cabinet (1-13), countertop (1-4), fridge (1), or drawer (1-27). I will start by checking the fridge 1., observation: OK. Step 3: action: open fridge 1, observation: Nothing happens. Step 4: action: look in fridge 1, observation: Nothing happens. Step 5: action: look in fridge 1, observation: Nothing happens."
pick_heat_then_place_in_recep-Mug-None-Shelf-20/trial_T20190907_054036_412242,put a hot mug in shelf.,"Step 1: action: think: To solve the task, I need to find a mug, heat it, and then put it in a shelf., observation: OK. Step 2: action: think: First, I need to find a mug. Mugs are commonly found in cabinets, on countertops, or on dining tables. I will start by checking the cabinets. I will check cabinet 1 first., observation: OK. Step 3: action: open cabinet 1, observation: Nothing happens. Step 4: action: open cabinet 2, observation: Nothing happens. Step 5: action: look in cabinet 1, observation: Nothing happens. Step 6: action: think: I have tried opening cabinet 1 and 2, and looking in cabinet 1, but nothing happened. This suggests these cabinets might be empty or not interactable in that way. I will try opening another cabinet,..."
pick_heat_then_place_in_recep-Plate-None-Cabinet-28/trial_T20190907_035752_332060,put a hot plate in cabinet.,"Step 1: action: think: I need to find a plate, heat it, and then put it in a cabinet. I will start by looking for a plate on the countertops., observation: OK. Step 2: action: go to countertop 1, observation: You arrive at countertop 1. On the countertop 1, you see a bowl 1, a lettuce 2, a saltshaker 2, and a spatula 2. Step 3: action: go to countertop 2, observation: You arrive at countertop 2. On the countertop 2, you see a butterknife 2, and a knife 3. Step 4: action: go to diningtable 1, observation: You arrive at diningtable 1. On the diningtable 1, you see a dishsponge 1, a plate 1, and a spatula 1. Step 5: action: think: I found a plate (1) on diningtable..."
pick_heat_then_place_in_recep-Plate-None-CounterTop-1/trial_T20190909_115633_911483,heat some plate and put it in countertop.,"Step 1: action: think: To solve the task, I need to find and take a plate, then heat it with microwave, then put it in countertop., observation: OK. Step 2: action: think: First I need to find a plate. A plate is more likely to appear in cabinet (1-9), countertop (1-3), drawer (1-9), fridge (1), shelf (1-3), sinkbasin (1), garbagecan (1). I will check these locations one by one, starting with cabinet 1., observation: OK. Step 3: action: open cabinet 1, observation: Nothing happens. Step 4: action: open cabinet 2, observation: Nothing happens. Step 5: action: open cabinet 3, observation: Nothing happens. Step 6: action: open cabinet 4, observation: Nothing happens. Step 7: action: open cabinet 5, observation: Nothing happens. Step 8: action: open cabinet 6, observation: Nothing happens. Step..."
pick_heat_then_place_in_recep-Plate-None-CounterTop-28/trial_T20190907_180330_211175,put a hot plate in countertop.,"Step 1: action: think: I need to find a plate, heat it, and then put it on a countertop. First, I will look for a plate. I will check diningtable 1, then diningtable 2, then countertops, then cabinets., observation: OK. Step 2: action: go to diningtable 1, observation: You arrive at diningtable 1. On the diningtable 1, you see a apple 2, a butterknife 1, a egg 1, a pan 1, a potato 2, a potato 1, a soapbottle 1, a spoon 3, and a spoon 2. Step 3: action: go to diningtable 2, observation: You arrive at diningtable 2. On the diningtable 2, you see a bowl 1, a bread 1, a butterknife 2, a knife 1, a saltshaker 3, a spatula 3, a spatula 2, and a tomato..."
pick_heat_then_place_in_recep-Plate-None-CounterTop-7/trial_T20190909_100702_050461,heat some plate and put it in countertop.,"Step 1: action: think: To solve the task, I need to find and take a plate, then heat it with microwave, then put it in countertop., observation: OK. Step 2: action: go to diningtable 1, observation: You arrive at diningtable 1. On the diningtable 1, you see a apple 1, a bread 1, a cup 3, a dishsponge 3, a fork 1, a houseplant 1, a lettuce 3, a lettuce 2, a lettuce 1, a mug 1, a plate 2, a soapbottle 2, a spoon 2, and a tomato 2. Step 3: action: take plate 2 from diningtable 1, observation: You pick up the plate 2 from the diningtable 1. Step 4: action: think: Now I have the plate 2. Next, I need to heat it using the microwave 1.,..."
pick_heat_then_place_in_recep-Potato-None-GarbageCan-3/trial_T20190908_121849_346541,heat some potato and put it in garbagecan.,"Step 1: action: open fridge 1, observation: Nothing happens. Step 2: action: open fridge 1, observation: Nothing happens."
pick_heat_then_place_in_recep-Tomato-None-GarbageCan-16/trial_T20190906_171701_034036,put a hot tomato in garbagecan.,"Step 1: action: think: To solve the task, I need to find a tomato, heat it, and then put it in the garbagecan., observation: OK. Step 2: action: open fridge 1, observation: Nothing happens. Step 3: action: open fridge 1, observation: Nothing happens."
pick_heat_then_place_in_recep-Tomato-None-SideTable-3/trial_T20190907_140859_097831,put a hot tomato in sidetable.,"Step 1: action: think: To solve the task, I need to find and take a tomato, then heat it with microwave, then put it in sidetable., observation: OK. Step 2: action: open fridge 1, observation: Nothing happens. Step 3: action: open fridge 1, observation: Nothing happens."
pick_two_obj_and_place-AlarmClock-None-Desk-307/trial_T20190907_013752_725369,put two alarmclock in desk.,"Step 1: action: think: To solve the task, I need to find and take the first alarmclock, then put it in desk, then find and take the second alarmclock, then put it in desk., observation: OK. Step 2: action: think: First I need to find the first alarmclock. An alarmclock is more likely to appear in sidetable (1), bed (1), desk (1), drawer (1-3), shelf (1-2). I can check one by one, starting with sidetable 1., observation: OK. Step 3: action: go to sidetable 1, observation: You arrive at sidetable 1. On the sidetable 1, you see a alarmclock 4, a alarmclock 3, a alarmclock 2, a cd 2, a creditcard 3, a creditcard 2, a desklamp 1, a keychain 1, and a remotecontrol 3. Step 4: action: think: Now..."
pick_two_obj_and_place-AlarmClock-None-Dresser-305/trial_T20190907_165758_902037,put two alarmclock in dresser.,"Step 1: action: think: To solve the task, I need to find and take the first alarmclock, then put it in dresser, then find and take the second alarmclock, then put it in dresser., observation: OK. Step 2: action: think: First I need to find the first alarmclock. An alarmclock is more likely to appear in drawer (1-5), desk (1), bed (1), dresser (1), shelf (1). I can check one by one, starting with drawer 1., observation: OK. Step 3: action: go to drawer 1, observation: You arrive at drawer 1. The drawer 1 is closed. Step 4: action: open drawer 1, observation: You open the drawer 1. The drawer 1 is open. In it, you see a cellphone 2. Step 5: action: go to drawer 2, observation: You arrive..."
pick_two_obj_and_place-AlarmClock-None-Shelf-316/trial_T20190909_010429_853588,put two alarmclock in shelf.,"Step 1: action: think: To solve the task, I need to find and take the first alarmclock, then put it in shelf, then find and take the second alarmclock, then put it in shelf., observation: OK. Step 2: action: think: First I need to find the first alarmclock. An alarmclock is more likely to appear in bed (1), desk (1), drawer (1-2), sidetable (1), shelf (1). I can check one by one, starting with bed 1., observation: OK. Step 3: action: go to bed 1, observation: You arrive at bed 1. On the bed 1, you see a cellphone 3, a laptop 2, a laptop 1, and a pillow 1. Step 4: action: go to desk 1, observation: You arrive at desk 1. On the desk 1, you see a..."
pick_two_obj_and_place-Book-None-Drawer-307/trial_T20190909_111435_540631,find two book and put them in drawer.,"Step 1: action: think: To solve the task, I need to find and take the first book, then put it in a drawer, then find and take the second book, then put it in a drawer., observation: OK. Step 2: action: think: First I need to find the first book. A book is more likely to appear in drawer (1-3), shelf (1-2), desk (1), sidetable (1), bed (1). I can check one by one, starting with drawer 1., observation: OK. Step 3: action: go to drawer 1, observation: You arrive at drawer 1. The drawer 1 is closed. Step 4: action: open drawer 1, observation: You open the drawer 1. The drawer 1 is open. In it, you see a cd 2, and a cellphone 3. Step 5: action: go..."
pick_two_obj_and_place-Bowl-None-Dresser-327/trial_T20190907_195918_167799,find two bowl and put them in dresser.,"Step 1: action: think: I need to find two bowls and put them in the dresser. I will first find the first bowl, take it, and put it in the dresser. Then I will find the second bowl, take it, and put it in the dresser. I will start by checking the desk, then shelves, then drawers., observation: OK. Step 2: action: go to desk 1, observation: You arrive at desk 1. On the desk 1, you see a keychain 2, and a laptop 1. Step 3: action: think: I have checked desk 1 and found no bowls. Now I will check the shelves. I will start with shelf 1., observation: OK. Step 4: action: go to shelf 1, observation: You arrive at shelf 1. On the shelf 1, you..."
pick_two_obj_and_place-CD-None-Dresser-303/trial_T20190908_085703_053950,put two cd in dresser.,"Step 1: action: think: I need to find two cd, pick them up, and then put them in the dresser. I will start by searching for the first cd in the drawers, then the desk, sidetable, and shelves., observation: OK. Step 2: action: go to drawer 1, observation: You arrive at drawer 1. On the drawer 1, you see a cellphone 1. Step 3: action: go to drawer 2, observation: Nothing happens. Step 4: action: open drawer 2, observation: Nothing happens. Step 5: action: go to drawer 3, observation: You arrive at drawer 3. The drawer 3 is closed. Step 6: action: open drawer 3, observation: You open the drawer 3. The drawer 3 is open. In it, you see nothing. Step 7: action: go to drawer 4, observation: You..."
pick_two_obj_and_place-Candle-None-Cabinet-403/trial_T20190909_065841_838469,find two candle and put them in cabinet.,"Step 1: action: think: I need to find two candles and put them in a cabinet. I will start by checking common places like the countertop and shelf, then move on to cabinets., observation: OK. Step 2: action: go to countertop 1, observation: You arrive at countertop 1. On the countertop 1, you see a candle 2, a candle 1, a dishsponge 2, a mirror 1, a showerglass 1, a soapbar 1, a spraybottle 3, a spraybottle 2, and a toiletpaper 2. Step 3: action: take candle 2 from countertop 1, observation: You pick up the candle 2 from the countertop 1. Step 4: action: take candle 1 from countertop 1, observation: Nothing happens. Step 5: action: think: I have found two candles on the countertop 1. I have successfully..."
pick_two_obj_and_place-Candle-None-Drawer-427/trial_T20190909_043940_867553,put two candle in drawer.,"Step 1: action: think: To solve the task, I need to find and take the first candle, then put it in a drawer, then find and take the second candle, then put it in a drawer., observation: OK. Step 2: action: think: First I need to find the first candle. A candle is more likely to appear in countertop (1), drawer (1-8), sinkbasin (1), bathtubbasin (1). I can check one by one, starting with countertop 1., observation: OK. Step 3: action: go to countertop 1, observation: You arrive at countertop 1. On the countertop 1, you see a candle 3, a candle 2, a soapbottle 2, a spraybottle 1, a tissuebox 1, a toiletpaper 2, and a toiletpaper 1. Step 4: action: think: Now I find the first candle (2)...."
pick_two_obj_and_place-CellPhone-None-Drawer-329/trial_T20190909_030006_191201,find two cellphone and put them in drawer.,"Step 1: action: think: To solve the task, I need to find and take the first cellphone, then put it in a drawer, then find and take the second cellphone, then put it in a drawer., observation: OK. Step 2: action: think: First I need to find the first cellphone. A cellphone is more likely to appear in sidetable (1-2), drawer (1-4), diningtable (1), bed (1). I can check one by one, starting with sidetable 1., observation: OK. Step 3: action: go to sidetable 1, observation: You arrive at sidetable 1. On the sidetable 1, you see a pencil 1. Step 4: action: go to sidetable 2, observation: You arrive at sidetable 2. On the sidetable 2, you see a alarmclock 1, a creditcard 2, a keychain 2, and a..."
pick_two_obj_and_place-CreditCard-None-Sofa-216/trial_T20190909_150017_974673,find two creditcard and put them in sofa.,"Step 1: action: think: I need to find two creditcards and put them in the sofa. I will first find the first creditcard, take it, and put it in the sofa. Then I will find the second creditcard, take it, and put it in the sofa. I will start by checking the drawers, then sidetables, then diningtable, then armchair, then shelf. I will start with drawer 1., observation: OK. Step 2: action: go to drawer 1, observation: You arrive at drawer 1. The drawer 1 is closed. Step 3: action: open drawer 1, observation: You open the drawer 1. The drawer 1 is open. In it, you see nothing. Step 4: action: think: I have checked drawer 1 and it's empty. Now I will check drawer 2., observation: OK. Step..."
